CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.44.2662.11A.01R.1758.07	0	0.011	0.246	0.046	0.044	0.034	0.229	0.027	0.132	0.139	0.456	0.031	0	0.182	0.148	0.122	0.059	0.143	0.304	0.465	0.246	0.103	0.165	0.135	0.82
TCGA.44.2665.01A.01R.0946.07	0	0.105	0.081	0.069	0.123	0.101	0.304	0	0.122	0.137	0.249	0.097	0.013	0.124	0.114	0.284	0.072	0.201	0.276	0.214	0.137	0	0.229	0.101	0.757
TCGA.44.2665.11A.01R.1758.07	0	0.049	0.146	0.039	0.083	0	0.196	0.031	0.138	0.163	0.368	0.062	0	0.209	0.157	0.169	0.05	0.197	0.326	0.346	0.202	0.05	0.171	0.13	0.796
TCGA.44.2666.01A.01R.0946.07	0	0.089	0.141	0.036	0.077	0.064	0.215	0.047	0.098	0.192	0.296	0.081	0.046	0.119	0.107	0.182	0.113	0.135	0.161	0.298	0.168	0.045	0.16	0.163	0.69
TCGA.44.2668.01A.01R.0946.07	0	0.035	0.227	0.123	0.065	0.119	0.361	0.193	0.128	0.165	0.292	0.096	0.004	0.062	0.061	0.233	0.088	0.195	0.284	0.362	0.174	0.025	0.12	0.16	0.808
TCGA.44.2668.11A.01R.1758.07	0	0	0.175	0.093	0.052	0.045	0.232	0.058	0.096	0.168	0.321	0	0	0.183	0.152	0.258	0.028	0.207	0.416	0.393	0.237	0.04	0.109	0.115	0.882
TCGA.44.3396.01A.01R.1206.07	0	0.047	0.183	0.086	0.136	0.112	0.317	0.096	0.083	0.128	0.378	0.129	0	0.059	0.074	0.186	0.112	0.173	0.29	0.305	0.123	0.071	0.207	0.195	0.796
TCGA.44.3396.11A.01R.1758.07	0	0.036	0.237	0.057	0.081	0.014	0.274	0.076	0.117	0.119	0.415	0.069	0	0.182	0.132	0.162	0.054	0.139	0.307	0.391	0.179	0.087	0.2	0.175	0.804
TCGA.44.3398.01A.01R.1107.07	0	0.072	0.231	0.085	0.103	0.129	0.272	0.038	0.13	0.1	0.303	0.101	0.037	0.097	0.168	0.341	0.097	0.151	0.294	0.377	0.088	0.049	0.157	0.177	0.841
TCGA.44.3398.11B.01R.1758.07	0	0.025	0.259	0.062	0.054	0.029	0.219	0.127	0.117	0.135	0.397	0.062	0.007	0.187	0.15	0.163	0.054	0.115	0.286	0.388	0.166	0.104	0.195	0.205	0.786
TCGA.44.3918.01A.01R.1107.07	0	0	0.24	0.144	0.078	0.107	0.336	0.201	0.074	0.062	0.37	0.117	0.008	0.08	0.177	0.203	0.098	0.091	0.285	0.329	0.077	0.073	0.172	0.252	0.754
TCGA.44.3919.01A.02R.1107.07	0	0.055	0.177	0.088	0.096	0.123	0.312	0.158	0.123	0.119	0.351	0.111	0.021	0.094	0.085	0.203	0.124	0.102	0.248	0.329	0.097	0.038	0.207	0.236	0.774
TCGA.44.4112.01A.01R.1107.07	0	0.011	0.161	0.058	0.109	0.115	0.265	0.029	0.032	0.168	0.357	0.124	0.05	0.089	0.107	0.209	0.111	0.153	0.269	0.177	0.14	0.051	0.189	0.165	0.707
TCGA.44.5643.01A.01R.1628.07	0	0.043	0.204	0.059	0.106	0.123	0.363	0.168	0.067	0.066	0.399	0.082	0.046	0.027	0.055	0.189	0.117	0.097	0.131	0.23	0.148	0.096	0.162	0.239	0.657
TCGA.44.5644.01A.21R.2039.07	0	0.132	0.115	0.036	0.014	0.145	0.273	0.053	0.17	0.168	0.265	0.034	0.058	0.005	0.102	0.1	0.124	0.11	0.082	0.238	0.216	0.047	0.13	0.169	0.585
TCGA.44.5645.01A.01R.1628.07	0	0.09	0.11	0.037	0.145	0.092	0.344	0.057	0.113	0.116	0.393	0.11	0	0.077	0.132	0.198	0.162	0.1	0.208	0.254	0.097	0.038	0.251	0.24	0.755
TCGA.44.5645.11A.01R.1628.07	0	0.016	0.244	0.018	0.049	0	0.188	0.053	0.137	0.155	0.371	0.056	0	0.211	0.169	0.165	0.081	0.124	0.292	0.394	0.186	0.099	0.196	0.194	0.817
TCGA.44.6144.11A.01R.1755.07	0	0	0.269	0.049	0.03	0.012	0.188	0.133	0.121	0.153	0.377	0.04	0.018	0.184	0.167	0.256	0.069	0.136	0.332	0.389	0.158	0.109	0.169	0.164	0.836
TCGA.44.6145.01A.11R.1755.07	0	0	0.239	0.148	0.091	0.156	0.339	0.172	0.084	0.159	0.399	0.124	0	0.049	0.085	0.147	0.134	0.151	0.213	0.368	0.11	0.046	0.15	0.276	0.775
TCGA.44.6145.11A.01R.1858.07	0	0.01	0.248	0.021	0.052	0.031	0.226	0.045	0.133	0.164	0.403	0.02	0	0.182	0.152	0.155	0.048	0.159	0.293	0.432	0.209	0.111	0.174	0.145	0.808
TCGA.44.6146.01A.11R.1755.07	0	0.055	0.111	0.01	0.02	0.126	0.24	0.027	0.138	0.266	0.291	0.104	0.063	0.023	0.153	0.083	0.092	0.12	0.081	0.27	0.171	0.021	0.188	0.147	0.577
TCGA.44.6146.11A.01R.1858.07	0	0.021	0.24	0.076	0.063	0.013	0.234	0.105	0.112	0.144	0.427	0.08	0.006	0.136	0.129	0.149	0.071	0.125	0.262	0.39	0.168	0.125	0.184	0.187	0.768
TCGA.44.6147.01A.11R.1755.07	0	0.083	0.144	0.019	0.14	0.06	0.279	0.065	0.117	0.145	0.411	0.159	0	0.069	0.096	0.094	0.154	0.1	0.157	0.229	0.105	0.084	0.262	0.198	0.649
TCGA.44.6147.11A.01R.1858.07	0	0.037	0.242	0.027	0	0.039	0.214	0.028	0.158	0.189	0.422	0.036	0	0.148	0.16	0.135	0	0.162	0.265	0.445	0.254	0.083	0.135	0.16	0.778
TCGA.44.6148.01A.11R.1755.07	0	0.072	0.117	0.063	0.08	0.079	0.231	0.034	0.086	0.163	0.378	0.069	0.008	0.078	0.183	0.124	0.097	0.105	0.192	0.264	0.146	0.08	0.267	0.195	0.695
TCGA.44.6148.11A.01R.1858.07	0	0.021	0.198	0.016	0.033	0.01	0.248	0.094	0.119	0.158	0.415	0.08	0.004	0.182	0.165	0.095	0.096	0.137	0.23	0.351	0.203	0.09	0.228	0.156	0.748
TCGA.44.6774.01A.21R.1858.07	0	0.082	0.124	0.099	0.12	0.132	0.356	0.049	0.12	0.116	0.242	0.102	0	0.056	0.057	0.194	0.072	0.181	0.287	0.249	0.13	0.034	0.221	0.147	0.74
TCGA.44.6775.01A.11R.1858.07	0	0.117	0.156	0.068	0.155	0.127	0.316	0.039	0.113	0.142	0.208	0.099	0	0.065	0.072	0.306	0.152	0.203	0.331	0.223	0.114	0.02	0.169	0.142	0.821
TCGA.44.6776.01A.11R.1858.07	0.013	0.088	0.146	0.051	0.064	0.08	0.208	0.052	0.072	0.229	0.31	0.095	0.001	0.079	0.162	0.181	0.079	0.123	0.062	0.221	0.159	0.057	0.161	0.165	0.575
TCGA.44.6776.11A.01R.1858.07	0.001	0.003	0.233	0.02	0	0.002	0.183	0.041	0.134	0.169	0.396	0.021	0.017	0.191	0.175	0.16	0.042	0.146	0.238	0.454	0.183	0.107	0.176	0.14	0.77
TCGA.44.6777.01A.11R.1858.07	0	0.053	0.197	0.078	0.122	0.106	0.326	0.055	0.028	0.097	0.303	0.102	0	0.139	0.111	0.274	0.121	0.17	0.387	0.267	0.105	0.048	0.184	0.177	0.843
TCGA.44.6777.11A.01R.1858.07	0	0	0.235	0.078	0.055	0.011	0.237	0.106	0.106	0.152	0.404	0.057	0.013	0.184	0.142	0.174	0.106	0.129	0.305	0.374	0.154	0.119	0.156	0.21	0.804
TCGA.44.6778.01A.11R.1858.07	0	0.014	0.213	0.119	0.143	0.086	0.334	0.178	0.074	0.055	0.404	0.118	0.006	0.12	0.087	0.221	0.123	0.058	0.31	0.372	0.097	0.062	0.189	0.208	0.789
TCGA.44.6778.11A.01R.1858.07	0	0.019	0.216	0.08	0.07	0.028	0.241	0.132	0.105	0.114	0.452	0.074	0.014	0.141	0.124	0.134	0.033	0.12	0.282	0.436	0.213	0.083	0.213	0.138	0.785
TCGA.44.6779.01A.11R.1858.07	0	0.041	0.252	0.113	0.066	0.138	0.371	0.195	0.066	0.098	0.404	0.114	0	0	0.072	0.172	0.103	0.175	0.296	0.36	0.098	0.077	0.078	0.236	0.759
TCGA.44.7659.01A.11R.2066.07	0	0.079	0.156	0.054	0.096	0.064	0.245	0.068	0.059	0.186	0.359	0.089	0.018	0.089	0.028	0.192	0.129	0.114	0.209	0.257	0.115	0.126	0.237	0.209	0.731
TCGA.44.7660.01A.11R.2066.07	0	0.045	0.201	0.053	0.068	0.088	0.291	0.135	0.146	0.101	0.272	0.027	0.06	0.115	0.07	0.143	0.125	0.151	0.246	0.272	0.149	0.105	0.145	0.177	0.704
TCGA.44.7661.01A.11R.2066.07	0	0.062	0.151	0.094	0.114	0.129	0.334	0.149	0.099	0.083	0.297	0.122	0.03	0.136	0.074	0.248	0.094	0.178	0.267	0.273	0.11	0.046	0.206	0.16	0.768
TCGA.44.7662.01A.11R.2066.07	0	0.068	0.225	0.125	0.088	0.091	0.32	0.2	0.076	0.111	0.31	0.082	0.042	0.025	0.072	0.207	0.073	0.182	0.277	0.312	0.116	0.07	0.147	0.187	0.751
TCGA.44.7667.01A.31R.2066.07	0	0	0.149	0.127	0.07	0.187	0.213	0.18	0	0.091	0.185	0.099	0.077	0	0.11	0.241	0.074	0.161	0.287	0.225	0.194	0.062	0.077	0.253	0.756
TCGA.44.7669.01A.21R.2066.07	0	0.075	0.173	0.037	0.106	0.139	0.393	0.095	0.082	0.07	0.309	0.109	0.007	0.092	0.075	0.227	0.098	0.153	0.269	0.303	0.134	0.042	0.175	0.171	0.765
