CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.AA.3516.11A.01R.A32Z.07	0	0	0.369	0.109	0.032	0	0.209	0.263	0.341	0.166	0.368	0	0.067	0.204	0.277	0.094	0.125	0.079	0.235	0.37	0.153	0.025	0.165	0.259	0.719
TCGA.AA.3517.11A.01R.A32Z.07	0	0	0.361	0.079	0.095	0.022	0.24	0.193	0.356	0.205	0.371	0.036	0.015	0.155	0.287	0.089	0.273	0.028	0.196	0.359	0.128	0.009	0.164	0.282	0.739
TCGA.AA.3518.11A.01R.1672.07	0	0	0.352	0.038	0.071	0	0.169	0.174	0.347	0.221	0.277	0.023	0.02	0.238	0.315	0.121	0.145	0.104	0.276	0.367	0.193	0	0.142	0.264	0.784
TCGA.AA.3520.11A.01R.A32Z.07	0	0	0.336	0.093	0.078	0.013	0.201	0.205	0.355	0.207	0.331	0.01	0.025	0.174	0.299	0.157	0.186	0.069	0.27	0.337	0.17	0	0.129	0.258	0.767
TCGA.AA.3522.11A.01R.A32Z.07	0	0.003	0.293	0.081	0.069	0.022	0.24	0.167	0.342	0.213	0.244	0	0.029	0.195	0.308	0.137	0.174	0.12	0.312	0.324	0.185	0	0.126	0.22	0.778
TCGA.AA.3525.11A.01R.A32Z.07	0	0	0.347	0.147	0.118	0	0.196	0.31	0.319	0.15	0.354	0.016	0.074	0.156	0.268	0.101	0.245	0.073	0.296	0.332	0.117	0.018	0.161	0.277	0.779
TCGA.AA.3526.01A.02R.A32Z.07	0	0	0.302	0.19	0.078	0.139	0.313	0.27	0.263	0.08	0.306	0.039	0.045	0.088	0.175	0.211	0.062	0.18	0.307	0.268	0.129	0.049	0.115	0.243	0.738
TCGA.AA.3527.11A.01R.A32Z.07	0	0	0.326	0.1	0.076	0.02	0.19	0.206	0.347	0.2	0.299	0.003	0.017	0.192	0.296	0.155	0.14	0.124	0.333	0.325	0.171	0.002	0.134	0.248	0.794
TCGA.AA.3531.11A.01R.A32Z.07	0	0	0.331	0.078	0.05	0.003	0.173	0.157	0.373	0.204	0.333	0.002	0.09	0.208	0.26	0.071	0.221	0.066	0.217	0.36	0.176	0	0.174	0.232	0.738
TCGA.AA.3534.11A.01R.A32Z.07	0	0.004	0.348	0.066	0.117	0	0.232	0.17	0.349	0.2	0.305	0.037	0.027	0.177	0.289	0.136	0.214	0.104	0.284	0.336	0.148	0	0.18	0.26	0.809
TCGA.AA.3655.01A.02R.1723.07	0	0.037	0.262	0.101	0.108	0.126	0.284	0.193	0.244	0.209	0.182	0.026	0.035	0.114	0.146	0.232	0.054	0.206	0.313	0.168	0.156	0.001	0.173	0.151	0.707
