CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.CN.5358.01A.01R.1514.07	0	0.038	0.38	0.109	0.256	0.09	0.23	0.179	0.149	0.112	0.332	0.112	0	0.118	0.211	0.214	0.119	0.163	0.295	0.254	0.1	0.069	0.183	0.32	0.865
TCGA.CN.5359.01A.01R.1436.07	0	0.066	0.391	0.084	0.213	0.083	0.222	0.189	0.181	0.113	0.269	0.137	0	0.057	0.199	0.174	0.067	0.172	0.314	0.268	0.154	0.074	0.179	0.289	0.848
TCGA.CN.5360.01A.01R.1436.07	0	0.041	0.388	0.11	0.207	0.081	0.231	0.204	0.172	0.105	0.306	0.112	0	0.081	0.214	0.178	0.081	0.124	0.245	0.252	0.083	0.114	0.191	0.314	0.77
TCGA.CN.5361.01A.01R.1436.07	0	0.078	0.353	0.114	0.165	0.1	0.134	0.188	0.248	0.155	0.03	0.026	0.064	0	0.22	0.222	0.053	0.213	0.237	0.229	0.138	0.095	0.105	0.256	0.763
TCGA.CN.5363.01A.01R.1436.07	0	0.057	0.386	0.134	0.137	0.081	0.175	0.264	0.159	0.118	0.123	0.073	0.059	0.109	0.172	0.228	0.088	0.154	0.228	0.203	0.144	0.082	0.106	0.22	0.718
TCGA.CN.5364.01A.01R.1436.07	0	0.076	0.325	0.056	0.097	0.108	0.195	0.118	0.158	0.105	0.159	0.066	0.019	0.077	0.248	0.252	0.075	0.185	0.278	0.247	0.131	0.081	0.137	0.226	0.803
TCGA.CN.5365.01A.01R.1436.07	0	0.035	0.391	0.128	0.136	0.105	0.097	0.299	0.19	0.094	0.074	0.003	0.068	0.083	0.219	0.242	0.057	0.164	0.305	0.23	0.173	0.102	0.04	0.28	0.782
TCGA.CN.5366.01A.01R.1436.07	0	0.081	0.376	0.121	0.136	0.102	0.188	0.264	0.168	0.111	0.115	0.064	0.039	0.083	0.202	0.198	0.063	0.177	0.24	0.236	0.132	0.094	0.098	0.25	0.731
TCGA.CN.5367.01A.01R.1436.07	0	0.086	0.249	0.038	0.154	0.063	0.109	0.143	0.165	0.203	0.02	0.058	0.039	0.112	0.208	0.274	0.084	0.182	0.278	0.048	0.17	0.056	0.092	0.179	0.685
TCGA.CN.5369.01A.01R.1436.07	0	0.041	0.408	0.152	0.178	0.089	0.155	0.256	0.173	0.088	0.275	0.094	0.015	0.073	0.238	0.194	0.096	0.146	0.221	0.324	0.128	0.098	0.15	0.285	0.81
TCGA.CN.5370.01A.01R.2016.07	0	0.057	0.427	0.101	0.155	0.074	0.246	0.235	0.126	0.151	0.211	0.051	0	0.129	0.191	0.245	0.063	0.181	0.361	0.238	0.124	0.048	0.143	0.213	0.823
TCGA.CN.5373.01A.01R.1436.07	0	0.047	0.358	0.098	0.186	0.124	0.219	0.218	0.152	0.12	0.246	0.112	0.025	0.074	0.213	0.227	0.079	0.152	0.22	0.21	0.137	0.057	0.161	0.301	0.78
TCGA.CN.5374.01A.01R.1436.07	0	0.084	0.403	0.071	0.164	0.07	0.203	0.248	0.189	0.118	0.369	0.13	0.035	0	0.209	0.091	0.202	0.089	0.071	0.27	0.062	0.116	0.204	0.33	0.692
TCGA.CN.6010.01A.11R.1686.07	0	0.103	0.338	0.045	0.173	0.087	0.215	0.117	0.243	0.163	0.184	0.11	0.005	0.018	0.209	0.132	0.118	0.138	0.117	0.259	0.125	0.135	0.153	0.235	0.67
TCGA.CN.6011.01A.11R.1686.07	0	0.049	0.396	0.097	0.109	0.092	0.065	0.244	0.197	0.126	0.065	0.013	0.079	0.045	0.201	0.198	0.043	0.179	0.257	0.349	0.195	0.099	0.069	0.23	0.798
TCGA.CN.6012.01A.11R.1686.07	0	0.076	0.397	0.107	0.208	0.099	0.147	0.22	0.216	0.101	0.279	0.099	0.017	0.021	0.162	0.184	0.095	0.144	0.245	0.306	0.137	0.099	0.164	0.301	0.827
TCGA.CN.6013.01A.11R.1686.07	0	0.008	0.436	0.143	0.164	0.121	0.228	0.261	0.145	0.055	0.341	0.092	0.006	0.072	0.199	0.237	0.088	0.18	0.294	0.232	0.109	0.097	0.136	0.287	0.82
TCGA.CN.6016.01A.11R.1686.07	0	0.072	0.343	0.057	0.166	0.106	0.255	0.091	0.18	0.148	0.174	0.021	0	0.12	0.267	0.228	0.029	0.199	0.272	0.252	0.086	0.083	0.145	0.283	0.784
TCGA.CN.6017.01A.11R.1686.07	0	0.015	0.451	0.106	0.192	0.075	0.208	0.223	0.142	0.11	0.334	0.077	0	0.153	0.277	0.177	0.097	0.089	0.265	0.35	0.064	0.117	0.19	0.305	0.805
TCGA.CN.6018.01A.11R.1686.07	0	0.052	0.404	0.088	0.195	0.107	0.254	0.21	0.11	0.105	0.155	0.054	0.011	0.112	0.189	0.207	0.056	0.161	0.308	0.226	0.136	0.09	0.116	0.248	0.765
TCGA.CN.6019.01A.11R.1686.07	0	0.056	0.402	0.091	0.158	0.094	0.196	0.148	0.204	0.108	0.279	0.054	0	0.131	0.238	0.27	0.018	0.209	0.362	0.329	0.096	0.073	0.168	0.263	0.9
TCGA.CN.6020.01A.11R.1686.07	0	0.108	0.34	0.065	0.18	0.135	0.201	0.091	0.119	0.179	0.142	0.069	0	0.056	0.223	0.22	0.049	0.182	0.276	0.174	0.212	0.036	0.107	0.201	0.746
TCGA.CN.6021.01A.11R.1686.07	0	0.092	0.29	0.035	0.228	0.08	0.103	0.092	0.248	0.135	0.272	0.132	0	0.023	0.264	0.143	0.171	0.089	0.144	0.182	0.204	0.079	0.105	0.31	0.708
TCGA.CN.6022.01A.21R.1686.07	0	0.092	0.329	0.062	0.195	0.115	0.231	0.073	0.061	0.141	0.094	0.03	0	0.209	0.246	0.23	0.065	0.196	0.326	0.147	0.154	0.036	0.141	0.206	0.768
TCGA.CN.6023.01A.11R.1686.07	0	0	0.349	0.147	0.166	0.086	0.231	0.25	0.217	0.049	0.293	0.137	0.043	0	0.126	0.133	0.084	0.129	0.235	0.265	0.11	0.181	0.156	0.31	0.746
TCGA.CN.6024.01A.11R.1686.07	0	0.098	0.173	0.058	0.16	0.047	0.142	0.052	0	0.243	0	0.042	0	0.089	0.19	0.226	0.043	0.194	0.158	0.118	0.218	0	0.088	0.124	0.613
TCGA.CN.6988.01A.11R.1915.07	0	0.095	0.26	0.013	0.105	0.126	0.053	0.093	0.073	0.208	0.048	0.026	0.027	0.013	0.181	0.169	0.125	0.141	0.089	0.063	0.243	0.118	0.031	0.228	0.571
TCGA.CN.6989.01A.11R.1915.07	0	0.093	0.314	0.017	0.216	0.074	0.248	0.125	0.126	0.205	0.096	0.058	0	0.106	0.193	0.319	0.052	0.219	0.358	0.195	0.12	0.041	0.169	0.143	0.825
TCGA.CN.6992.01A.11R.1915.07	0	0.135	0.265	0.054	0.215	0.13	0.207	0.067	0.226	0.186	0.139	0.08	0	0.013	0.202	0.201	0.081	0.138	0.213	0.215	0.149	0.067	0.171	0.212	0.724
TCGA.CN.6994.01A.11R.1915.07	0	0.122	0.32	0.087	0.176	0.091	0.145	0.152	0.166	0.142	0.148	0.065	0.015	0.035	0.227	0.24	0.061	0.259	0.248	0.139	0.13	0.05	0.09	0.252	0.744
TCGA.CN.6995.01A.31R.2016.07	0	0.043	0.448	0.134	0.138	0.101	0.223	0.273	0.168	0.045	0.259	0.059	0.028	0.047	0.227	0.194	0.063	0.158	0.276	0.24	0.114	0.101	0.08	0.274	0.734
