CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.CC.A7IE.01A.21R.A38B.07	0.016	0.055	0.185	0.094	0.213	0.129	0.239	0.311	0.264	0.019	0.402	0.074	0	0.075	0.256	0.157	0.119	0.182	0.167	0.236	0.136	0.039	0.169	0.26	0.752
TCGA.CC.A7IF.01A.11R.A33J.07	0.048	0.106	0.016	0	0.156	0	0	0.162	0.406	0.174	0.194	0.004	0	0.038	0.184	0.123	0.166	0.167	0.173	0.208	0.193	0.069	0.156	0.136	0.697
TCGA.CC.A7IG.01A.11R.A33J.07	0	0.137	0.095	0.087	0.257	0.109	0.141	0.062	0.349	0.14	0.091	0	0	0.033	0.286	0.183	0.113	0.222	0.249	0.222	0.198	0	0.07	0.227	0.782
TCGA.CC.A7IH.01A.11R.A33J.07	0.034	0.15	0.147	0	0.238	0.058	0.135	0.114	0.205	0.25	0.127	0.025	0	0.008	0.289	0.057	0.06	0.191	0.105	0.167	0.248	0.023	0.098	0.127	0.556
TCGA.CC.A7II.01A.11R.A33J.07	0.065	0.203	0.091	0.01	0.177	0.101	0.075	0.132	0.407	0.043	0	0	0	0	0.239	0.236	0.172	0.151	0.248	0.169	0.188	0.064	0.071	0.142	0.726
TCGA.CC.A7IJ.01A.11R.A33R.07	0.009	0.143	0.18	0.082	0.213	0.117	0.232	0.272	0.41	0.024	0.23	0.121	0	0.04	0.322	0.22	0.083	0.083	0.312	0.179	0.129	0.012	0.137	0.254	0.736
TCGA.CC.A7IK.01A.12R.A33R.07	0	0.115	0.149	0.026	0.184	0.136	0.244	0.188	0.189	0.199	0.006	0.02	0	0	0.246	0.105	0.1	0.12	0.13	0.258	0.236	0.084	0.042	0.113	0.583
TCGA.CC.A7IL.01A.11R.A33R.07	0	0.099	0.084	0	0.259	0.072	0.114	0.133	0.144	0.213	0.023	0	0	0.025	0.251	0.168	0.117	0.165	0.209	0.025	0.283	0.021	0.046	0.123	0.599
TCGA.CC.A8HS.01A.11R.A36F.07	0.018	0.097	0.116	0.033	0.19	0.101	0.179	0.153	0.41	0.114	0.239	0.041	0	0	0.271	0.112	0.137	0.149	0.025	0.283	0.193	0.037	0.19	0.144	0.65
TCGA.CC.A8HT.01A.11R.A36F.07	0	0.135	0.178	0.05	0.235	0.099	0.232	0.188	0.443	0.116	0.189	0.021	0	0	0.239	0.236	0.098	0.157	0.259	0.339	0.168	0.041	0.101	0.196	0.82
TCGA.CC.A8HU.01A.11R.A36F.07	0	0.148	0.109	0.047	0.313	0.061	0.064	0.067	0.24	0.181	0.095	0	0	0.029	0.197	0.134	0.15	0.203	0.202	0.129	0.208	0.035	0.077	0.188	0.68
TCGA.CC.A8HV.01A.11R.A36F.07	0.057	0.064	0	0.01	0.169	0.121	0.157	0.155	0.321	0.157	0.195	0.023	0.009	0.068	0.263	0.078	0.12	0.145	0	0.124	0.217	0.009	0.167	0.19	0.548
TCGA.CC.A9FS.01A.11R.A37K.07	0.002	0.081	0.117	0.077	0.186	0.095	0.232	0.197	0.274	0.205	0.245	0.012	0.005	0.013	0.274	0.141	0.06	0.164	0.187	0.221	0.179	0.047	0.096	0.202	0.659
TCGA.CC.A9FU.01A.11R.A37K.07	0	0.059	0.16	0.032	0.21	0.145	0.208	0.27	0.337	0.139	0.295	0.028	0.017	0.05	0.222	0.113	0.143	0.122	0.047	0.212	0.19	0.041	0.144	0.261	0.649
TCGA.CC.A9FV.01A.11R.A37K.07	0.052	0.093	0.199	0.07	0.217	0.088	0.211	0.208	0.341	0.029	0.367	0.105	0	0.016	0.289	0.235	0.066	0.131	0.349	0.243	0.119	0.009	0.169	0.216	0.806
TCGA.CC.A9FW.01A.11R.A37K.07	0	0.066	0.129	0.083	0.216	0.14	0.26	0.243	0.387	0.222	0.251	0.008	0.006	0.034	0.198	0.13	0.092	0.178	0.104	0.227	0.178	0.029	0.127	0.235	0.671
TCGA.DD.A113.01A.11R.A131.07	0.034	0.133	0.109	0.042	0.248	0.15	0.257	0.184	0.377	0.138	0.136	0.044	0	0.004	0.245	0.187	0.098	0.159	0.216	0.248	0.165	0	0.145	0.148	0.72
TCGA.DD.A113.11A.12R.A131.07	0.026	0.11	0.132	0.061	0.134	0.064	0.184	0.176	0.365	0.236	0.228	0.009	0	0.033	0.325	0.156	0	0.216	0.292	0.263	0.202	0	0.075	0.148	0.713
TCGA.DD.A114.01A.11R.A131.07	0.044	0.11	0.169	0.094	0.22	0.128	0.283	0.285	0.317	0.054	0.302	0.109	0	0.07	0.24	0.23	0.125	0.087	0.238	0.246	0.081	0.061	0.14	0.223	0.723
TCGA.DD.A114.11A.12R.A131.07	0.061	0.058	0.19	0.055	0.217	0.037	0.245	0.266	0.372	0.099	0.382	0.117	0	0.028	0.282	0.159	0.066	0.141	0.314	0.27	0.124	0.054	0.157	0.22	0.765
TCGA.DD.A115.01A.11R.A131.07	0.025	0.105	0.128	0	0.227	0.061	0.155	0.171	0.321	0.167	0.29	0.093	0	0.035	0.297	0.209	0.076	0.133	0.215	0.17	0.156	0.044	0.1	0.213	0.671
TCGA.DD.A116.01A.11R.A131.07	0	0.1	0.165	0.034	0.199	0.16	0.138	0.205	0.294	0.195	0.158	0	0.001	0.114	0.287	0.192	0.106	0.155	0.209	0.239	0.169	0.013	0.114	0.19	0.724
TCGA.DD.A116.11A.12R.A26B.07	0.064	0.092	0.181	0.041	0.191	0.04	0.158	0.21	0.372	0.165	0.351	0.059	0	0.054	0.3	0.138	0.067	0.186	0.3	0.272	0.153	0.04	0.149	0.191	0.767
TCGA.DD.A118.01A.11R.A131.07	0.001	0.202	0.12	0.012	0.253	0.097	0.151	0.156	0.151	0.215	0.11	0.042	0	0.052	0.242	0.218	0.102	0.219	0.249	0.157	0.232	0	0.097	0.08	0.713
TCGA.DD.A118.11A.11R.A131.07	0.057	0.072	0.142	0.051	0.017	0.064	0.18	0.161	0.396	0.21	0.314	0.047	0	0.007	0.336	0.162	0.009	0.214	0.365	0.274	0.22	0.039	0.08	0.157	0.781
TCGA.DD.A119.01A.11R.A131.07	0.005	0.118	0.084	0.046	0.165	0.072	0.067	0.164	0.431	0.158	0.234	0	0.024	0.046	0.315	0.227	0.06	0.208	0.244	0.228	0.177	0	0.075	0.217	0.757
TCGA.DD.A119.11A.11R.A131.07	0.056	0.041	0.131	0.022	0.106	0.064	0.167	0.127	0.323	0.224	0.255	0.053	0	0.004	0.337	0.19	0.013	0.247	0.395	0.175	0.222	0.016	0.039	0.153	0.756
