CD4_naive	CD8_naive	Tc	Tex	Tr1	nTreg	iTreg	Th1	Th2	Th17	Tfh	Tcm	Tem	NKT	MAIT	DC	B_cell	Monocyte	Macrophage	NK	Neutrophil	Tgd	CD4_T	CD8_T	InfiltrationScore
TCGA.A2.A259.01A.11R.A16F.07	0	0.064	0.378	0.024	0.075	0.106	0.212	0.201	0.508	0.132	0.43	0.129	0	0.076	0.189	0.097	0.116	0.177	0.18	0.293	0.185	0.094	0.193	0.199	0.657
TCGA.A2.A25A.01A.12R.A16F.07	0	0.061	0.439	0.024	0.028	0.051	0.126	0.203	0.498	0.134	0.489	0.126	0	0.059	0.208	0.128	0.083	0.169	0.195	0.33	0.164	0.13	0.199	0.237	0.685
TCGA.A2.A25B.01A.11R.A169.07	0	0.056	0.411	0.071	0.054	0.077	0.201	0.27	0.368	0.094	0.347	0.137	0.042	0	0.204	0.142	0.083	0.211	0.313	0.179	0.222	0.061	0.103	0.202	0.663
TCGA.A2.A25C.01A.11R.A169.07	0	0.053	0.377	0.02	0.05	0.081	0.145	0.216	0.497	0.133	0.325	0.158	0.038	0.034	0.254	0.141	0.096	0.181	0.209	0.222	0.193	0.045	0.188	0.186	0.646
TCGA.A2.A25D.01A.12R.A16F.07	0	0.053	0.479	0.125	0.049	0.078	0.18	0.326	0.339	0.088	0.521	0.136	0.02	0	0.129	0.129	0.121	0.138	0.262	0.286	0.126	0.133	0.182	0.284	0.696
TCGA.A2.A25E.01A.11R.A169.07	0	0.084	0.36	0.07	0.022	0.062	0.153	0.168	0.496	0.114	0.385	0.133	0	0.043	0.204	0.177	0.109	0.187	0.229	0.201	0.198	0.059	0.152	0.16	0.644
TCGA.A2.A25F.01A.11R.A169.07	0	0.02	0.496	0.14	0.131	0.069	0.248	0.331	0.431	0.018	0.514	0.141	0	0.014	0.156	0.184	0.156	0.182	0.271	0.368	0.122	0.117	0.196	0.258	0.792
TCGA.A2.A3KC.01A.11R.A213.07	0	0.066	0.44	0.054	0.032	0.052	0.092	0.228	0.481	0.15	0.435	0.107	0	0.083	0.19	0.128	0.095	0.214	0.226	0.317	0.18	0.076	0.194	0.182	0.7
TCGA.A2.A3KD.01A.12R.A213.07	0	0.016	0.367	0.085	0.042	0.089	0.106	0.225	0.509	0.164	0.379	0.071	0.011	0.084	0.184	0.101	0.073	0.185	0.242	0.262	0.211	0.11	0.146	0.203	0.648
TCGA.A2.A3XS.01A.11R.A22U.07	0	0.007	0.434	0.05	0.028	0.132	0.12	0.258	0.522	0.133	0.441	0.096	0.021	0.113	0.118	0.098	0.171	0.161	0.163	0.354	0.185	0.051	0.219	0.29	0.748
